id,name,data,length,alias,language,imdb,star,cnumber,region
30316462,迷路的孩子 Lost Child,['2018-09-14(美国)'],[],[],['英语'],['https://www.imdb.com/title/tt8897988'],[''],[],['美国']
27104405,隧道惊魂 Cutterhead,"['2018-07-08(纳沙泰尔奇幻电影节)', '2019-03-21(丹麦)']",['84'],['Earth Pressure Balance'],['英语'],['https://www.imdb.com/title/tt6562628'],['6.8'],['92'],['丹麦']
30263957,奔跑嘉年华,['2018-07-06(中国大陆)'],[],[],['汉语普通话'],[],[''],[],['中国大陆']
30291519,魔兽世界：战争使者 World Of Warcraft: Warbringers,['2018-07-23(美国)'],[],['魔獸世界：戰火之源'],['英语'],['https://www.imdb.com/title/tt9075992'],['9.2'],['138'],['美国']
30276382,兵王归来之孤狼行动,['2018-07-21(中国大陆)'],[],[],['汉语普通话'],[],[''],[],['中国大陆']
30362485,起点,[],['86'],[],['汉语普通话'],[],[''],[],['中国大陆']
30163737,上古仙女秘闻,['2018-03-09(中国大陆)'],['60'],['三娘传说 / 七仙女之三娘传说'],['汉语普通话'],[],[''],[],['中国大陆']
30125762,熊猫石的奇幻旅行,['2018-02-09(中国大陆)'],['89'],['Panda Stone Fantasy Travel'],['汉语普通话'],[],[''],[],['中国大陆']
27148169,Cross 크로스,['2018-01-29(韩国)'],[],['Cross：神的礼物 / Cross：复仇之刃(港)'],['韩语'],['https://www.imdb.com/title/tt7794314'],['7.2'],['637'],['韩国']
30352552,银色食欲 銀色食慾,['2018-11-11(中国台湾)'],['25'],['Silver Appetite'],[],[],[''],[],['中国台湾']
30362491,犬神家族 犬神家の一族,['2018-12-24(日本)'],[],['犬神家一族 / 金田一耕助：犬神家族'],['日语'],[],['6.3'],['715'],['日本']
30396276,中国女红,['2018-12-03(中国大陆)'],[],[],['汉语普通话'],[],[''],[],['中国大陆']
26849720,我们都疯了 We Are All Completely Beside Ourselves,[],[],[],['英语'],['https://www.imdb.com/title/tt5940184'],[''],[],['美国']
30177756,搞鬼歌手,['2018-01-14(中国香港)'],[],['Prank Singe'],['粤语'],[],[''],[],['中国香港']
