ID,name,type
1366431,金艺源,2
794c6741-fd93-4c0c-af02-b3e8351a6606,崔润雅,2
ff2cf708-3707-4680-802e-9023ddd8d49f,杨惠善,2
17f19f65-3f4a-430a-80dc-266f6296169e,李湵京,2
35db9d53-5fb1-4bd2-af37-416dfdef4e15,金昭喜,2
5b1c987c-24e7-48f8-a1c9-88bc5ee82147,闵佳璘,2
aed38d34-bcbc-4eef-9e9e-3121e5a482aa,韩胜宇,2
c78c8cbe-0d19-4cd8-9c65-592e86e514ba,姜昇植,2
4c9355f3-2afd-4424-b367-1ec4c9c771ac,许灿,2
6f736593-701f-4d3f-9a30-8b0197b44265,林势俊,2
8823af63-dee3-425a-9dd0-2845173aa696,都韩势,2
1380169,崔秉灿,2
d1820098-a1b5-4b73-a0da-ef34b1bf8328,郑秀彬,2
1402870,郭英敏,2
1395267,金钟炫,2
1401439,姜东昊,2
1381032,崔珉起,2
1405295,李娜炅,2
1388714,李宜缜,2
1331878,吴光硕,2
1393507,朴大元,2
1393506,李亨根,2
1393505,高镐廷,2
1393504,池韩率,2
1381040,李濬荣,2
1392911,康裕瓒,2
1393503,金基重,2
1388749,黄旭熙,2
1388755,李帝努,2
1388754,钟辰乐,2
343abc09-63cb-468b-8626-1c3cfecdba8d,林煐岷,2
d9be8eae-2de7-4bf6-a42c-fe95c364599e,金东贤,2
c53c66bf-4c92-4494-abed-c83bf4b658a7,李上渊,2
ba630d69-d840-4f35-afbb-c2d05a41de0f,裴俊英,2
1393818,金泳勋,2
bbc60a42-1b32-473d-be93-856eb393ef51,李在贤,2
6a6fe4a0-fdac-4be3-8fc2-fe30166a785c,李柱延,2
d3097e91-3ac2-4d80-95d5-c2540926837f,文炯书,2
4e7a63c8-19f0-4040-a75d-4c9285d80779,崔澯熙,2
ff430b0b-042c-4cf2-85f2-5ab93e1390bb,池昌民,2
fc49cf88-0182-4bb2-a43d-bc930032462d,周鹤年,2
290e3775-08b7-40c0-bd39-5b1fef3c3086,许玹埻,2
3bdcb481-37ae-4ec4-ad9b-fd070112b618,金善旴,2
b33ca9c3-10c4-4d24-ae5d-fcb06bc77f5d,孙英宰,2
6a5087b4-02a8-4a28-a0fb-a902f32d20df,金桐俊,2
8cf2d051-91a6-4037-abd9-fa70c59e1387,黄正夏,2
bbbfb952-f394-4bd5-9b4e-f348f66b77a8,柳昇佑,2
21cc2d48-9a84-450d-9b9c-454e9a77f03a,金炫秀,2
c8b88853-de3e-431d-aabf-f2d85a048313,李慧彬,2
1389085,李多斌,2
50d55787-e93c-4a14-bf6c-98f5235191f1,成智筵,2
07d0e4bd-aa52-4f91-b5cb-7ff212898cbf,金泰河,2
982823aa-2aaa-4b25-b941-42e1ea06623f,金娜允,2
02685123-a3ef-451c-8173-01bccaf8ea3a,Daisy  戴西·柳,2
